days_out,query_date,wtp_J,bid_J,pacing_J,sold_J,available_J,protected_J,load_factor_J,wtp_W,bid_W,pacing_W,sold_W,available_W,protected_W,load_factor_W,wtp_Y,bid_Y,pacing_Y,sold_Y,available_Y,protected_Y,load_factor_Y,bookings_this_step,group_bookings_this_step,award_bookings_this_step
160,2026-03-03,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,419.32,0.0000,0,26,11,0.0000,417.04,505.86,1.2130,2,224,152,0.0099,0,0,0
159,2026-03-04,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,419.32,0.0000,0,26,11,0.0000,417.04,486.19,1.1658,2,224,152,0.0099,0,0,0
158,2026-03-05,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,419.32,0.0000,0,26,11,0.0000,417.04,467.29,1.1205,2,224,152,0.0099,0,0,0
157,2026-03-06,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,419.32,0.0000,0,26,11,0.0000,417.04,449.13,1.0769,2,224,151,0.0099,0,0,0
156,2026-03-07,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,419.32,0.0000,0,26,11,0.0000,417.04,431.68,1.0351,2,224,151,0.0099,0,0,0
155,2026-03-08,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,419.32,0.0000,0,26,11,0.0000,417.04,414.91,0.9949,2,224,151,0.0099,0,0,0
154,2026-03-09,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,419.32,0.0000,0,26,11,0.0000,417.04,398.81,0.9563,2,224,151,0.0099,0,0,0
153,2026-03-10,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,419.32,0.0000,0,26,11,0.0000,417.04,383.33,0.9192,2,224,151,0.0099,0,0,0
152,2026-03-11,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,419.32,0.0000,0,26,11,0.0000,417.04,368.46,0.8835,2,224,151,0.0099,0,0,0
151,2026-03-12,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,419.32,13.8041,1,25,11,0.0417,417.04,354.18,0.8493,2,224,151,0.0099,0,0,1
150,2026-03-13,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,13.1329,1,25,11,0.0417,417.04,340.45,0.8163,2,224,151,0.0099,0,0,0
149,2026-03-14,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,12.4945,1,25,11,0.0417,417.04,327.26,0.7847,2,224,151,0.0099,0,0,0
148,2026-03-15,1683.84,1010.30,0.0000,0,52,28,0.0000,698.86,1048.29,11.8871,1,25,11,0.0417,417.04,314.59,0.7543,2,224,151,0.0099,0,0,0
